iter	Passed	Remaining
0	1	1352
1	2	1220
2	3	1079
3	4	1060
4	5	1007
5	5	961
6	6	935
7	7	946
8	8	952
9	9	943
10	10	950
11	11	941
12	12	939
13	13	940
14	14	927
15	14	914
16	15	902
17	16	893
18	17	886
19	17	878
20	18	871
21	19	864
22	20	859
23	21	854
24	21	848
25	22	849
26	23	852
27	24	856
28	25	855
29	26	849
30	27	845
31	27	839
32	28	834
33	29	831
34	30	827
35	30	825
36	31	821
37	32	822
38	33	818
39	34	816
40	34	813
41	35	810
42	36	807
43	37	808
44	38	808
45	39	809
46	39	808
47	40	807
48	41	807
49	42	808
50	43	806
51	44	803
52	44	803
53	45	800
54	46	797
55	47	795
56	47	792
57	48	789
58	49	787
59	50	785
60	50	783
61	51	782
62	52	784
63	53	785
64	55	795
65	56	793
66	56	790
67	57	787
68	58	785
69	58	783
70	59	780
71	60	777
72	61	775
73	61	772
74	62	769
75	63	768
76	63	765
77	64	764
78	66	770
79	68	788
80	70	801
81	72	810
82	73	808
83	74	807
84	74	806
85	75	805
86	76	806
87	77	806
88	78	805
89	79	803
90	80	801
91	81	800
92	82	800
93	83	803
94	84	808
95	85	808
96	86	807
97	87	806
98	88	806
99	89	806
100	90	805
101	91	804
102	92	804
103	93	803
104	94	802
105	95	801
106	95	800
107	96	800
108	97	801
109	98	800
110	99	800
111	100	798
112	101	797
113	102	795
114	103	794
115	104	792
116	104	789
117	105	788
118	106	786
119	107	784
120	107	783
121	108	781
122	109	779
123	110	778
124	110	776
125	112	777
126	112	776
127	114	777
128	115	777
129	115	775
130	116	774
131	117	772
132	118	771
133	119	770
134	119	768
135	120	767
136	121	765
137	122	764
138	123	763
139	124	762
140	124	760
141	125	757
142	126	757
143	127	760
144	129	763
145	133	783
146	135	784
147	137	788
148	138	789
149	139	789
150	140	789
151	142	793
152	144	799
153	145	799
154	146	799
155	147	799
156	148	799
157	150	800
158	151	801
159	152	800
160	153	799
161	154	799
162	156	801
163	158	806
164	159	807
165	160	807
166	161	806
167	162	806
168	163	805
169	164	804
170	165	803
171	166	803
172	167	802
173	168	801
174	169	800
175	171	802
176	172	802
177	173	803
178	174	802
179	175	801
180	176	800
181	177	798
182	178	797
183	179	795
184	180	793
185	180	791
186	181	789
187	182	787
188	183	785
189	183	783
190	184	781
191	185	779
192	186	780
193	187	778
194	188	778
195	189	778
196	191	779
197	191	777
198	192	775
199	193	773
200	194	772
201	195	770
202	195	768
203	196	766
204	197	764
205	197	762
206	198	760
207	199	758
208	200	757
209	200	755
210	202	755
211	203	755
212	204	755
213	205	753
214	205	751
215	206	750
216	207	749
217	208	747
218	209	745
219	210	744
220	210	743
221	211	741
222	212	740
223	213	739
224	214	737
225	214	735
226	215	734
227	216	733
228	217	731
229	218	730
230	219	729
231	220	728
232	221	728
233	221	726
234	222	724
235	223	723
236	224	721
237	224	719
238	225	718
239	226	716
240	227	715
241	227	714
242	228	712
243	229	711
244	230	710
245	231	709
246	232	708
247	233	708
248	234	707
249	235	705
250	236	704
251	236	703
252	237	701
253	238	699
254	239	698
255	239	696
256	240	695
257	241	693
258	241	692
259	242	690
260	243	689
261	244	687
262	244	685
263	245	684
264	246	683
265	247	682
266	248	682
267	249	681
268	250	680
269	251	679
270	252	678
271	252	676
272	253	675
273	254	674
274	255	672
275	255	671
276	256	669
277	257	668
278	258	666
279	258	665
280	259	664
281	260	662
282	261	661
283	262	661
284	263	661
285	265	662
286	266	662
287	267	662
288	268	661
289	269	660
290	270	658
291	271	657
292	271	656
293	272	654
294	273	653
295	274	652
296	275	651
297	275	649
298	276	649
299	277	648
300	278	647
301	279	646
302	280	645
303	281	644
304	282	643
305	283	641
306	283	640
307	284	638
308	285	637
309	285	636
310	286	635
311	287	633
312	288	632
313	288	630
314	289	629
315	290	628
316	291	627
317	292	626
318	294	628
319	296	629
320	298	631
321	299	631
322	300	629
323	301	628
324	301	627
325	302	625
326	303	623
327	303	622
328	304	620
329	305	619
330	305	617
331	306	616
332	307	615
333	308	614
